20220418193018,10.0.0.1,5001,10.0.0.2,54213,3,0.0-1.0,68297000,546376000,0.011,36,68333,0.053,122
20220418193018,10.0.0.1,5001,10.0.0.2,44680,4,0.0-1.0,65177000,521416000,0.001,3473,68650,5.059,182
20220418193018,10.0.0.1,5001,10.0.0.2,50108,5,0.0-1.0,69919000,559352000,0.001,1883,71802,2.622,3332
20220418193018,10.0.0.1,0,10.0.0.2,0,-1,0.0-1.0,203393000,1627144000,0.011,5392,208785,2.583,3636
20220418193019,10.0.0.1,5001,10.0.0.2,54213,3,1.0-2.0,76631000,613048000,0.001,0,76631,0.000,0
20220418193019,10.0.0.1,5001,10.0.0.2,44680,4,1.0-2.0,76538000,612304000,0.001,0,76538,0.000,0
20220418193019,10.0.0.1,5001,10.0.0.2,50108,5,1.0-2.0,80279000,642232000,0.001,0,80279,0.000,0
20220418193019,10.0.0.1,0,10.0.0.2,0,-1,1.0-2.0,233448000,1867584000,0.001,0,233448,0.000,0
20220418193020,10.0.0.1,5001,10.0.0.2,54213,3,2.0-3.0,75806000,606448000,0.001,0,75806,0.000,0
20220418193020,10.0.0.1,5001,10.0.0.2,44680,4,2.0-3.0,75779000,606232000,0.001,0,75779,0.000,0
20220418193020,10.0.0.1,5001,10.0.0.2,50108,5,2.0-3.0,79301000,634408000,0.001,0,79301,0.000,0
20220418193020,10.0.0.1,0,10.0.0.2,0,-1,2.0-3.0,230886000,1847088000,0.001,0,230886,0.000,0
20220418193021,10.0.0.1,5001,10.0.0.2,54213,3,3.0-4.0,77503000,620024000,0.001,0,77503,0.000,0
20220418193021,10.0.0.1,5001,10.0.0.2,44680,4,3.0-4.0,77313000,618504000,0.001,0,77313,0.000,0
20220418193021,10.0.0.1,5001,10.0.0.2,50108,5,3.0-4.0,80907000,647256000,0.001,0,80907,0.000,0
20220418193021,10.0.0.1,0,10.0.0.2,0,-1,3.0-4.0,235723000,1885784000,0.001,0,235723,0.000,0
20220418193022,10.0.0.1,5001,10.0.0.2,54213,3,4.0-5.0,77460000,619680000,0.001,0,77460,0.000,0
20220418193022,10.0.0.1,5001,10.0.0.2,44680,4,4.0-5.0,77200000,617600000,0.001,0,77200,0.000,0
20220418193022,10.0.0.1,5001,10.0.0.2,50108,5,4.0-5.0,80901000,647208000,0.001,0,80901,0.000,0
20220418193022,10.0.0.1,0,10.0.0.2,0,-1,4.0-5.0,235561000,1884488000,0.001,0,235561,0.000,0
20220418193023,10.0.0.1,5001,10.0.0.2,54213,3,5.0-6.0,77149000,617192000,0.001,0,77149,0.000,0
20220418193023,10.0.0.1,5001,10.0.0.2,44680,4,5.0-6.0,77104000,616832000,0.001,0,77104,0.000,0
20220418193023,10.0.0.1,5001,10.0.0.2,50108,5,5.0-6.0,80475000,643800000,0.001,0,80475,0.000,0
20220418193023,10.0.0.1,0,10.0.0.2,0,-1,5.0-6.0,234728000,1877824000,0.001,0,234728,0.000,0
20220418193024,10.0.0.1,5001,10.0.0.2,54213,3,6.0-7.0,77229000,617832000,0.001,0,77229,0.000,0
20220418193024,10.0.0.1,5001,10.0.0.2,44680,4,6.0-7.0,77007000,616056000,0.001,0,77007,0.000,0
20220418193024,10.0.0.1,5001,10.0.0.2,50108,5,6.0-7.0,80679000,645432000,0.001,0,80679,0.000,0
20220418193024,10.0.0.1,0,10.0.0.2,0,-1,6.0-7.0,234915000,1879320000,0.001,0,234915,0.000,0
20220418193025,10.0.0.1,5001,10.0.0.2,54213,3,7.0-8.0,77006000,616048000,0.001,0,77006,0.000,0
20220418193025,10.0.0.1,5001,10.0.0.2,44680,4,7.0-8.0,76752000,614016000,0.001,0,76752,0.000,0
20220418193025,10.0.0.1,5001,10.0.0.2,50108,5,7.0-8.0,80681000,645448000,0.001,0,80681,0.000,0
20220418193025,10.0.0.1,0,10.0.0.2,0,-1,7.0-8.0,234439000,1875512000,0.001,0,234439,0.000,0
20220418193026,10.0.0.1,5001,10.0.0.2,54213,3,8.0-9.0,76571000,612568000,0.001,0,76571,0.000,0
20220418193026,10.0.0.1,5001,10.0.0.2,44680,4,8.0-9.0,76551000,612408000,0.001,0,76551,0.000,0
20220418193026,10.0.0.1,5001,10.0.0.2,50108,5,8.0-9.0,79937000,639496000,0.001,0,79937,0.000,0
20220418193026,10.0.0.1,0,10.0.0.2,0,-1,8.0-9.0,233059000,1864472000,0.001,0,233059,0.000,0
20220418193027,10.0.0.1,5001,10.0.0.2,44680,4,0.0-10.0,754895000,604584307,0.001,3473,758368,0.458,182
20220418193027,10.0.0.1,5001,10.0.0.2,54213,3,0.0-10.0,759383000,607962493,0.001,36,759419,0.005,122
20220418193027,10.0.0.1,5001,10.0.0.2,50108,5,0.0-10.0,792241000,634029229,0.001,1883,794124,0.237,3332
20220418193027,10.0.0.1,0,10.0.0.2,0,-1,0.0-10.0,2306519000,1845903537,0.001,5392,2311911,0.233,3636
